dataset,input_size,psnr_mean,psnr_p10,ssim_mean,ssim_p10
clean,320,33.56496108174372,25.161368858253823,0.9111336510683615,0.788028657412022
clean,640,40.54117649368002,31.854076814380832,0.9758382734421998,0.9590583502282047
clean,960,45.558079034290174,34.90512920039256,0.9906827222609832,0.9872757219685463
hard,320,35.49667600816247,25.405066912416718,0.8116089564493161,0.4851118384069716
hard,640,40.89976651363357,27.51382448530288,0.909145265593888,0.7369394359687214
hard,960,44.715865598436,31.944412650683134,0.9643663856408795,0.8936268407785188
high_res,320,32.93408217513821,27.531924304742976,0.9037115875215226,0.811168167630116
high_res,640,41.13447396387907,33.73308321513825,0.9759244444997666,0.9563551022103242
high_res,960,46.73021266894937,39.64050031752825,0.9905206700563653,0.9900738758571485
